Element,Wavelength(nm)
Ag,338.29
Ag*,328.07
Ag**,546.55
Al,396.15
Al*,309.27
Al**,237.31
Al***,394.4
Al****,281.61
Al*****,308.22
As,234.98
As*,228.81
Au,242.78
Au*,267.6
B,206.67
Ba,493.41
Ba*,389.18
Be,313.04
Be*,249.47
Br,635.06
Br*,447.78
Br**,926.75
Bi,306.77
Bi*,223.06
Bi**,472.25
C,940.55
C*,247.85
C**,505.22
C***,426.9
Ca,370.6
Ca*,373.69
Ca**,227.55
Cd,361.05
Cd*,228.8
Cd**,226.49
Cl,837.6
Cl*,452.62
Co,258.16
Co*,228.63
Co**,345.21
Cr,283.56
Cr*,302.16
Cs,852.13
Cs*,387.61
Cs**,459.32
Cu,327.4
Cu*,324.75
Cu**,213.6
F,623.95
F*,634.85
Fe,373.49
Fe*,248.33
Fe**,259.94
Fe***,216.68
Ga,417.2
Ga*,294.36
Ga**,287.42
Ge,265.13
Ge*,303.91
H,656.28
H*,486.13
H**,434.05
Hf,339.98
Hf*,325.37
Hg,253.65
Hg*,365.02
Hg**,202.69
In,230.61
In*,451.13
K,766.49
K*,404.41
K**,344.65
Li,391.4
Li*,610.37
Li**,670.78
Mg,285.21
Mg*,279.55
Mg**,383.83
Mn,403.08
Mn*,294.92
Mn**,257.605
Mn***,344.19
Mo,313.25
Mo*,550.65
N,599.94
Na,818.33
Na*,588.99
Na**,568.82
Ni,508.21
Ni*,221.67
Ni**,300.25
La,492.16
La*,394.91
Li,812.64
Li*,610.36
Li**,670.8
P,255.33
P*,213.62
Pb,220.35
Pb*,405.77
Rb,420.19
Rb*,794.76
Rb**,620.64
Rb***,629.85
Rb****,780.04
S,921.3
S*,605.26
S**,469.43
S***,403.398
S****,415.775
Sb,217.62
Sb*,287.79
Sb**,206.83
Sc,361.37
Sc*,255.23
Se,204
Sm,363.42
Sm*,359.26
Sm**,373.92
Sn,326.23
Sn*,242.95
Si,251.61
Si*,288.19
Si**,390.53
Sr,346.46
Sr*,421.55
Sr**,215.28
Th,299.9
Tl,535.07
Tl*,377.57
Tl**,351.92
Ti,230.401
Ti*,376.02
Ti**,252.58
U,447.2
V,292.44
Y,572.91
Zn,334.501
Zn*,202.55
Zn**,213.86
Zr,468.8
Zr*,262.06
